35,-3.27,-17.71,255,2.67,18.98,255,,-5.94
35,-0.85,-6.96,147,0.24,18.98,10,,-1.09
35,-0.85,-6.96,147,0.24,18.98,10,,-1.09
35,3.76,12.16,255,-4.16,-13.06,255,,7.92
35,4.08,21.97,255,-4.61,-23.16,255,,8.69
35,2.38,17.6,255,-2.63,-17.79,255,,5.01
35,0.04,17.6,10,-0.16,-17.79,10,,0.2
35,0.04,17.6,10,-0.16,-17.79,10,,0.2
35,-4.28,-11.95,254,2.99,12.58,255,,-7.27
35,-4.4,-18.63,255,4.04,20.65,255,,-8.44
35,-2.26,-14.1,255,2.3,15.95,255,,-4.56
35,0.28,-14.1,10,-0.12,15.95,10,,0.4
35,0.28,-14.1,10,-0.12,15.95,10,,0.4
35,3.56,12.26,255,-4.48,-13.86,255,,8.04
35,4.48,23.87,255,-4.48,-24.44,255,,8.96
35,2.59,17.99,255,-2.38,-17.6,255,,4.97
35,0.24,17.99,10,-1.17,-15.84,255,,1.41
35,0.24,17.99,10,-1.17,-15.84,255,,1.41
35,-4.12,-9.43,200,4.04,11.76,249,,-8.16
35,-4.61,-21.36,255,5.66,25.49,255,,-10.27
35,-3.92,-22.46,255,4.04,25.01,255,,-7.96
35,-1.7,-12.34,255,1.62,13.82,255,,-3.32
35,0.93,0.65,13,-0.97,-0.03,10,,1.9
36,3.56,13.96,255,-2.3,-12.39,255,,5.86
36,3.84,17.5,255,-3.56,-17.44,255,,7.4
36,1.78,13.62,255,-1.82,-13.3,255,,3.6
36,0.61,6.51,138,0.61,-3.97,84,,0
36,-1.82,-5.85,124,3.03,9.24,196,,-4.85
36,-3.56,-16.08,255,3.76,18.62,255,,-7.32
36,-2.83,-15.28,255,2.99,17.51,255,,-5.82
36,-0.57,-6.73,143,0.85,8.34,177,,-1.42
36,0.69,1.43,30,-1.58,-1.96,41,,2.27
36,2.99,13.42,255,-3.64,-14.4,255,,6.63
36,3.43,18.92,255,-3.84,-19.71,255,,7.27
36,1.45,13.19,255,-2.14,-13.69,255,,3.59
36,-0.93,2.4,51,0.24,-13.69,10,,-1.17
36,-0.93,2.4,51,0.24,-13.69,10,,-1.17
36,-4.12,-12.26,255,4.57,15.35,255,,-8.69
36,-5.21,-24.29,255,4.85,26.59,255,,-10.06
36,-3.31,-18.97,255,2.83,20.42,255,,-6.14
36,-0.85,-7.29,154,0.32,20.42,10,,-1.17
36,-0.85,-7.29,154,0.32,20.42,10,,-1.17
36,3.92,12.5,255,-2.87,-11.35,241,,6.79
36,4.2,19.76,255,-3.92,-19.82,255,,8.12
36,2.14,15.48,255,-2.34,-15.52,255,,4.48
36,0.97,8.69,184,0.04,-15.52,10,,0.93
36,0.97,8.69,184,0.04,-15.52,10,,0.93
36,-3.47,-9.85,209,4.28,13.24,255,,-7.75
36,-4.69,-22.1,255,4.73,24.79,255,,-9.42
36,-3.27,-18.6,255,3.19,20.63,255,,-6.46
36,-0.89,-8.14,172,0.81,9.33,198,,-1.7
37,0.4,-8.14,10,-1.74,5.64,119,,2.14
37,0.4,-8.14,10,-1.74,5.64,119,,2.14
37,4.73,19.13,255,-5.9,-21.48,255,,10.63
37,5.49,29.83,255,-5.94,-31.4,255,,11.43
37,3.56,23.9,255,-4.97,-26.2,255,,8.53
37,1.17,14.57,255,-2.59,-16.03,255,,3.76
37,-1.41,1.79,37,0.08,-16.03,10,,-1.49
37,-1.41,1.79,37,0.08,-16.03,10,,-1.49
37,-4.73,-13.82,255,4.69,16.41,255,,-9.42
37,-5.98,-26.91,255,5.17,28.83,255,,-11.15
37,-4.12,-22.12,255,3.19,23.21,255,,-7.31
37,-1.7,-10.65,226,0.65,10.72,227,,-2.35
37,0.93,2.59,54,-0.61,-1.44,30,,1.54
37,3.19,12.11,255,-3.07,-12.05,255,,6.26
37,3.47,17.91,255,-3.72,-18.48,255,,7.19
37,1.74,13.82,255,-1.78,-13.49,255,,3.52
37,-0.61,2.68,56,0.69,-1.35,28,,-1.3
37,-3.07,-9.89,210,1.94,10.33,219,,-5.01
37,-3.84,-14.78,255,3.43,16.54,255,,-7.27
37,-2.18,-12.63,255,2.18,14.4,255,,-4.36
37,-1.01,-6.5,138,-0.08,14.4,10,,-0.93
37,-1.01,-6.5,138,-0.08,14.4,10,,-0.93
37,3.72,12.68,255,-4.16,-13.63,255,,7.88
37,4.85,24.35,255,-4.12,-24,255,,8.97
37,2.99,18.51,255,-2.06,-17.21,255,,5.05
37,0.61,7,148,-0.81,-6.51,138,,1.42
37,-1.78,-2.9,61,1.78,4.52,95,,-3.56
38,-2.87,-11.45,243,3.8,14.8,255,,-6.67
38,-3.52,-17.49,255,3.56,19.78,255,,-7.08
38,-1.7,-11.37,241,1.45,12.61,255,,-3.15
38,0.69,0.22,10,0.2,12.61,10,,0.49
38,0.69,0.22,10,0.2,12.61,10,,0.49
38,4.57,14.75,255,-4.08,-14.64,255,,8.65
38,4.85,24.19,255,-4.73,-24.71,255,,9.58
38,3.07,19.97,255,-2.75,-19.58,255,,5.82
