21,0.44,5.41,10,-1.01,-4.32,91,,1.45,,,,,,,,,,,
21,0.44,5.41,10,-1.01,-4.32,91,,1.45,,,,,,,,,,,
21,-1.13,-0.08,10,0.04,-4.32,10,,-1.17,,,,,,,,,,,
21,-1.13,-0.08,10,0.04,-4.32,10,,-1.17,,,,,,,,,,,
21,-1.82,-2.4,51,1.29,3.15,66,,-3.11,,,,,,,,,,,
21,-2.06,-4.11,87,1.49,4.85,103,,-3.55,,,,,,,,,,,
21,-1.98,-4.16,88,1.45,4.93,104,,-3.43,,,,,,,,,,,
21,-1.66,-3.52,74,1.13,4.24,90,,-2.79,,,,,,,,,,,
21,-1.41,-2.75,58,0.57,3.11,66,,-1.98,,,,,,,,,,,
22,-0.89,-1.21,25,0.2,3.11,10,,-1.09,,,,,,,,,,,
22,-0.89,-1.21,25,0.2,3.11,10,,-1.09,,,,,,,,,,,
22,-0.12,-1.21,10,-0.69,0.77,16,,0.57,,,,,,,,,,,
22,-0.12,-1.21,10,-0.69,0.77,16,,0.57,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
22,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
23,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,0.08,-1.21,10,-0.89,0.57,12,,0.97,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
