14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
14,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
15,-0.28,-1.25,10,0.12,2.8,10,,-0.4,,
ñ,,,,,,,,,,
