40,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
40,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
40,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
40,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
40,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
40,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
41,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
42,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
43,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
44,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
44,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
44,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
44,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
44,1.17,1.17,24,-1.9,-1.9,40,,,,,,,,
